code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding
603020,爱普股份,2020-05-11,0,1,0,0,0,0,3.2,23.62,3.2
603027,千禾味业,2020-05-11,0,1,0,0,0,0,4.66,55.46,4.62
603031,安德利,2020-05-11,0,1,0,0,0,0,1.12,78.82,1.12
603056,德邦股份,2020-05-11,0,1,0,0,0,0,9.6,0.0,2.18
603076,乐惠国际,2020-05-11,0,1,0,0,0,0,0.75,11.34,0.27
603083,剑桥科技,2020-05-11,0,1,0,0,0,0,1.94,0.0,1.12
603096,新经典,2020-05-11,0,1,0,0,0,0,1.35,36.64,1.35
603098,森特股份,2020-05-11,0,1,0,0,0,0,4.8,27.9,4.8
603103,横店影视,2020-05-11,0,1,0,0,0,0,6.34,0.0,0.74
603110,东方材料,2020-05-11,0,1,0,0,0,0,1.44,52.98,0.54
603128,华贸物流,2020-05-11,0,1,0,0,0,0,10.12,26.49,10.12
603129,春风动力,2020-05-11,0,1,0,0,0,0,1.34,24.14,0.66
603161,科华控股,2020-05-11,0,1,0,0,0,0,1.33,24.77,0.69
603179,新泉股份,2020-05-11,0,1,0,0,0,0,2.26,43.4,2.26
603181,皇马科技,2020-05-11,0,1,0,0,0,0,2.8,20.56,1.39
603186,华正新材,2020-05-11,0,1,0,0,0,0,1.29,105.44,1.29
603187,海容冷链,2020-05-11,0,1,0,0,0,0,1.58,22.67,1.18
603189,网达软件,2020-05-11,0,1,0,0,0,0,2.21,79.65,2.21
603198,迎驾贡酒,2020-05-11,0,1,0,0,0,0,8.0,14.51,8.0
603200,上海洗霸,2020-05-11,0,1,0,0,0,0,1.01,70.79,0.35
603220,中贝通信,2020-05-11,0,1,0,0,0,0,3.38,0.0,1.86
603228,景旺电子,2020-05-11,0,1,0,0,0,0,6.09,34.34,5.99
603233,大参林,2020-05-11,0,1,0,0,0,0,5.47,33.78,1.1
603267,鸿远电子,2020-05-11,0,1,0,0,0,0,1.65,29.59,0.41
603283,赛腾股份,2020-05-11,0,1,0,0,0,0,1.76,88.92,0.41
603305,旭升股份,2020-05-11,0,1,0,0,0,0,4.15,89.35,0.77
603306,华懋科技,2020-05-11,0,1,0,0,0,0,3.11,40.07,3.07
603322,超讯通信,2020-05-11,0,1,0,0,0,0,1.57,0.0,1.57
603323,苏农银行,2020-05-11,0,1,0,0,0,0,18.03,8.25,13.62
603329,上海雅仕,2020-05-11,0,1,0,0,0,0,1.32,39.68,0.65
603331,百达精工,2020-05-11,0,1,0,0,0,0,1.28,51.14,0.32
603345,安井食品,2020-05-11,0,1,0,0,0,0,2.36,70.81,2.3
603377,东方时尚,2020-05-11,0,1,0,0,0,0,5.88,0.0,5.88
603378,亚士创能,2020-05-11,0,1,0,0,0,0,1.95,0.0,0.69
603380,易德龙,2020-05-11,0,1,0,0,0,0,1.6,41.74,0.48
603393,新天然气,2020-05-11,0,1,0,0,0,0,2.24,32.51,2.24
603496,恒为科技,2020-05-11,0,1,0,0,0,0,2.02,0.0,1.09
603501,韦尔股份,2020-05-11,0,1,0,0,0,0,8.64,101.36,1.56
603505,金石资源,2020-05-11,0,1,0,0,0,0,2.4,40.75,2.38
603516,淳中科技,2020-05-11,0,1,0,0,0,0,1.33,566.15,0.88
603517,绝味食品,2020-05-11,0,1,0,0,0,0,6.09,133.39,6.09
603533,掌阅科技,2020-05-11,0,1,0,0,0,0,4.01,58.44,1.63
603535,嘉诚国际,2020-05-11,0,1,0,0,0,0,1.5,17.9,0.66
603556,海兴电力,2020-05-11,0,1,0,0,0,0,4.9,30.59,4.89
603578,三星新材,2020-05-11,0,1,0,0,0,0,0.9,25.88,0.89
603583,捷昌驱动,2020-05-11,0,1,0,0,0,0,1.78,42.9,1.06
603596,伯特利,2020-05-11,0,1,0,0,0,0,4.09,27.32,1.72
603602,纵横通信,2020-05-11,0,1,0,0,0,0,1.57,0.0,0.93
603609,禾丰牧业,2020-05-11,0,1,0,0,0,0,9.22,11.54,9.04
603626,科森科技,2020-05-11,0,1,0,0,0,0,4.73,94.9,4.64
603630,拉芳家化,2020-05-11,0,1,0,0,0,0,2.27,46.3,2.27
603638,艾迪精密,2020-05-11,0,1,0,0,0,0,4.13,53.81,3.86
603639,海利尔,2020-05-11,0,1,0,0,0,0,1.7,14.68,1.68
603656,泰禾光电,2020-05-11,0,1,0,0,0,0,1.49,148.49,1.49
603659,璞泰来,2020-05-11,0,1,0,0,0,0,4.35,94.53,1.94
603661,恒林股份,2020-05-11,0,1,0,0,0,0,1.0,29.14,0.29
603663,三祥新材,2020-05-11,0,1,0,0,0,0,1.9,31.5,1.89
603677,奇精机械,2020-05-11,0,1,0,0,0,0,1.92,47.86,1.92
603678,火炬电子,2020-05-11,0,1,0,0,0,0,4.53,41.81,4.53
603679,华体科技,2020-05-11,0,1,0,0,0,0,1.02,40.09,0.4
603685,晨丰科技,2020-05-11,0,1,0,0,0,0,1.69,31.23,0.57
603690,至纯科技,2020-05-11,0,1,0,0,0,0,2.58,0.0,2.34
603693,江苏新能,2020-05-11,0,1,0,0,0,0,6.18,9.34,1.93
603701,德宏股份,2020-05-11,0,1,0,0,0,0,2.04,65.03,2.01
603703,盛洋科技,2020-05-11,0,1,0,0,0,0,2.3,1043.94,1.09
603707,健友股份,2020-05-11,0,1,0,0,0,0,7.18,53.01,3.48
603721,中广天择,2020-05-11,0,1,0,0,0,0,1.3,0.0,0.62
603730,岱美股份,2020-05-11,0,1,0,0,0,0,4.01,19.07,0.73
603737,三棵树,2020-05-11,0,1,0,0,0,0,1.86,0.0,1.85
603738,泰晶科技,2020-05-11,0,1,0,0,0,0,1.69,0.0,1.69
603739,蔚蓝生物,2020-05-11,0,1,0,0,0,0,1.55,40.53,0.74
