code,profitForcastExpPubDate,profitForcastExpStatDate,profitForcastType,profitForcastChgPctUp,profitForcastChgPctDwn,name,industry,outstanding
000023,2020-01-21,2019-12-31,预增,132.0,86.0,深天地Ａ,其他建材,1.39
000009,2020-01-18,2019-12-31,预增,59.04,30.98,中国宝安,综合类,25.44
600455,2020-01-21,2019-12-31,预增,480.0,430.0,博通股份,文教休闲,0.62
000061,2020-01-18,2019-12-31,预增,792.57,563.05,农 产 品,农业综合,16.95
000090,2020-01-10,2019-12-31,预增,60.0,40.0,天健集团,建筑工程,18.68
600346,2020-01-18,2019-12-31,预增,228.06,228.06,恒力石化,化纤,46.32
000517,2020-01-22,2019-12-31,预增,236.9,162.95,荣安地产,区域地产,30.36
000514,2020-01-18,2019-12-31,预增,1035.82,773.71,渝 开 发,区域地产,8.44
600251,2020-02-03,2019-12-31,预增,82.46,82.46,冠农股份,农业综合,7.85
600266,2020-01-31,2019-12-31,预增,95.0,50.0,城建发展,区域地产,18.8
000425,2020-01-23,2019-12-31,预增,95.53,75.98,徐工机械,工程机械,69.95
600287,2019-10-30,2019-12-31,预增,0.0,0.0,江苏舜天,商贸代理,4.37
600287,2020-01-23,2019-12-31,预增,212.0,212.0,江苏舜天,商贸代理,4.37
600288,2020-01-21,2019-12-31,预增,73.76,44.14,大恒科技,软件服务,4.37
600295,2020-02-03,2019-12-31,预增,60.0,47.0,鄂尔多斯,小金属,6.12
000411,2019-10-26,2019-12-31,预增,81.14,38.52,英特集团,医药商业,2.07
600310,2020-01-21,2019-12-31,预增,131.39,87.59,桂东电力,水力发电,8.28
000403,2020-01-16,2019-12-31,预增,120.0,90.0,双林生物,生物制药,2.71
000400,2020-01-18,2019-12-31,预增,120.37,95.33,许继电气,电气设备,10.08
600328,2020-01-23,2019-12-31,预增,246.45,246.45,兰太实业,化工原料,4.38
000301,2020-01-21,2019-12-31,预增,81.29,50.21,东方盛虹,化纤,12.18
600336,2020-01-22,2019-12-31,预增,195.0,175.0,澳柯玛,家用电器,7.77
